,index,industry_category
0,Manufactured Goods,449
1,Retail,385
2,Wholesale,304
3,"Agriculture, forestry & fishing",137
4,"Real estate, design & building",127
5,Professional & technical services,126
6,Energy,92
7,"Information, communication & technology",61
8,Other services,52
9,Accommodation & food service,37
10,Waste Management & Recycling,32
11,Administrative & support services,25
12,Transportation & storage,20
13,Rental & Repair,12
14,"Arts, entertainment & recreation",10
15,"Energy, Heating & Cooling",8
16,Education,7
17,Financial & insurance activities,6
18,Construction,5
19,Human health & social work,3
20,Water & Sewerage,3
21,Publishing - Print,2
