,index,country
0,United States,377
1,United Kingdom,107
2,Australia,88
3,Canada,69
4,Argentina,34
5,Netherlands The,29
6,Brazil,28
7,Chile,27
8,Italy,16
9,France,14
10,Spain,13
11,New Zealand,12
12,Germany,12
13,Switzerland,11
14,Colombia,10
15,Peru,8
16,Denmark,8
17,Mexico,6
18,Taiwan,6
19,Belgium,4
20,Singapore,4
21,South Africa,3
22,Kenya,3
23,Hong Kong S.A.R.,3
24,Ecuador,3
25,Paraguay,3
26,Uruguay,2
27,South Korea,2
28,Indonesia,2
29,India,2
30,China,1
31,Portugal,1
32,United Arab Emirates,1
33,Vanuatu,1
34,Jersey,1
35,Thailand,1
36,Japan,1
37,Bangladesh,1
38,Mozambique,1
39,Guatemala,1
40,Czech Republic,1
41,Austria,1
42,Turkey,1
43,Nicaragua,1
44,Venezuela,1
45,Uganda,1
46,Senegal,1
47,Vietnam,1
48,Costa Rica,1
49,Zambia,1
50,Ireland,1
51,Malaysia,1
52,Norway,1
53,Puerto Rico,1
54,Philippines,1
